,starttime,Lat,Lon,Base
6768,7/9/14 0:08,40.7661,-73.9874,B02512
6769,7/9/14 0:12,40.7342,-74.01,B02512
6770,7/9/14 0:14,40.7275,-73.985,B02512
6771,7/9/14 0:15,40.6482,-73.7828,B02512
6772,7/9/14 0:15,40.6878,-74.1823,B02512
6773,7/9/14 0:26,40.6449,-73.7821,B02512
6774,7/9/14 0:30,40.7092,-73.9485,B02512
6775,7/9/14 0:31,40.7217,-74.0042,B02512
6776,7/9/14 0:59,41.0414,-74.2182,B02512
6777,7/9/14 1:14,40.7276,-73.9853,B02512
6778,7/9/14 1:15,40.7135,-73.9475,B02512
6779,7/9/14 1:16,40.7597,-73.9724,B02512
6780,7/9/14 1:20,40.7207,-73.9888,B02512
6781,7/9/14 1:42,40.7226,-73.986,B02512
6782,7/9/14 1:46,40.7595,-73.9723,B02512
6783,7/9/14 1:52,40.711,-74.0069,B02512
6784,7/9/14 2:05,40.7592,-73.9727,B02512
6785,7/9/14 2:08,40.7213,-73.9936,B02512
6786,7/9/14 2:21,40.7601,-73.973,B02512
6787,7/9/14 2:39,40.7189,-73.628,B02512
6788,7/9/14 2:55,40.7215,-73.9875,B02512
6789,7/9/14 3:07,40.73,-73.9805,B02512
6790,7/9/14 3:08,40.7199,-74.012,B02512
6791,7/9/14 3:25,40.7601,-73.979,B02512
6792,7/9/14 3:26,40.7587,-73.9729,B02512
6793,7/9/14 3:35,40.7351,-74.0062,B02512
6794,7/9/14 3:40,40.7272,-73.9917,B02512
6795,7/9/14 3:53,40.7557,-73.866,B02512
6796,7/9/14 4:06,40.7659,-73.9872,B02512
6797,7/9/14 4:09,40.7569,-73.9744,B02512
6798,7/9/14 4:15,40.7195,-74.0111,B02512
6799,7/9/14 4:15,40.7276,-74.0682,B02512
6800,7/9/14 4:21,40.7653,-73.9824,B02512
6801,7/9/14 4:24,40.7331,-73.9814,B02512
6802,7/9/14 4:27,40.641,-73.7316,B02512
6803,7/9/14 4:32,40.7595,-73.8328,B02512
6804,7/9/14 4:51,40.7654,-73.9695,B02512
