,starttime,Lat,Lon,Base
33350,4/30/14 0:02,40.7685,-73.9581,B02512
33351,4/30/14 0:02,40.6444,-73.7823,B02512
33352,4/30/14 0:03,40.7715,-73.9825,B02512
33353,4/30/14 0:11,40.6799,-73.9075,B02512
33354,4/30/14 0:12,40.7198,-73.9858,B02512
33355,4/30/14 0:13,40.7276,-73.9942,B02512
33356,4/30/14 0:19,40.7569,-73.972,B02512
33357,4/30/14 0:26,40.6879,-74.183,B02512
33358,4/30/14 0:28,40.6777,-73.9507,B02512
33359,4/30/14 0:40,40.7581,-73.9723,B02512
33360,4/30/14 0:45,40.7608,-73.9756,B02512
33361,4/30/14 0:50,40.7131,-73.9937,B02512
33362,4/30/14 1:11,40.7404,-73.9862,B02512
33363,4/30/14 1:32,40.7141,-73.9898,B02512
33364,4/30/14 1:46,40.766,-73.9693,B02512
33365,4/30/14 1:50,40.7616,-73.9792,B02512
33366,4/30/14 1:52,40.7637,-73.981,B02512
33367,4/30/14 2:01,40.7213,-73.9937,B02512
33368,4/30/14 2:08,40.6966,-73.9185,B02512
33369,4/30/14 2:17,40.7279,-73.9761,B02512
33370,4/30/14 2:34,40.7692,-73.983,B02512
33371,4/30/14 3:04,40.7937,-73.9732,B02512
33372,4/30/14 3:06,40.7629,-73.9972,B02512
33373,4/30/14 3:33,40.7299,-73.9851,B02512
33374,4/30/14 3:35,40.7594,-73.9722,B02512
33375,4/30/14 3:42,40.7643,-73.9831,B02512
33376,4/30/14 3:43,40.7138,-73.9442,B02512
33377,4/30/14 3:44,40.8712,-73.9162,B02512
33378,4/30/14 3:47,40.6812,-73.8728,B02512
33379,4/30/14 3:57,40.7622,-73.9781,B02512
33380,4/30/14 4:05,40.7267,-73.8945,B02512
33381,4/30/14 4:10,40.7643,-73.9928,B02512
33382,4/30/14 4:27,40.7275,-73.9854,B02512
33383,4/30/14 4:36,40.6463,-73.777,B02512
33384,4/30/14 4:40,40.7528,-74.0041,B02512
33385,4/30/14 4:43,40.7321,-73.9941,B02512
33386,4/30/14 5:00,40.7785,-73.9884,B02512
33387,4/30/14 5:02,40.7121,-73.944,B02512
33388,4/30/14 5:05,40.8127,-74.1983,B02512
33389,4/30/14 5:15,40.7781,-73.9747,B02512
33390,4/30/14 5:16,40.6409,-73.7324,B02512
33391,4/30/14 5:24,40.7784,-73.9611,B02512
33392,4/30/14 5:25,40.7138,-74.0414,B02512
33393,4/30/14 5:26,40.7922,-73.9678,B02512
33394,4/30/14 5:27,40.775,-73.9831,B02512
33395,4/30/14 5:31,40.7511,-73.9767,B02512
33396,4/30/14 5:34,40.7223,-73.9866,B02512
33397,4/30/14 5:34,40.722,-74.0095,B02512
33398,4/30/14 5:37,40.6879,-74.1828,B02512
33399,4/30/14 5:39,40.7075,-74.009,B02512
33400,4/30/14 5:41,40.7747,-73.9582,B02512
33401,4/30/14 5:41,40.7796,-73.976,B02512
33402,4/30/14 5:42,40.7507,-74.0034,B02512
33403,4/30/14 5:42,40.7839,-73.9808,B02512
33404,4/30/14 5:47,40.7316,-74.0015,B02512
33405,4/30/14 5:48,40.7856,-73.9798,B02512
33406,4/30/14 5:50,40.7255,-74.009,B02512
33407,4/30/14 5:53,40.7342,-73.9894,B02512
33408,4/30/14 5:53,40.6737,-73.9792,B02512
33409,4/30/14 5:54,40.7733,-73.9469,B02512
33410,4/30/14 5:54,40.7748,-73.9884,B02512
33411,4/30/14 5:57,40.74,-73.9974,B02512
33412,4/30/14 5:58,40.7714,-73.9507,B02512
33413,4/30/14 6:00,40.7215,-74.0051,B02512
33414,4/30/14 6:05,40.7719,-73.9617,B02512
33415,4/30/14 6:05,40.7388,-74.0088,B02512
33416,4/30/14 6:08,40.785,-73.9787,B02512
33417,4/30/14 6:08,40.7873,-73.979,B02512
33418,4/30/14 6:10,40.7557,-73.992,B02512
33419,4/30/14 6:10,40.7696,-73.9602,B02512
33420,4/30/14 6:12,40.7623,-73.9822,B02512
33421,4/30/14 6:12,40.7266,-73.9991,B02512
33422,4/30/14 6:13,40.7199,-74.0077,B02512
33423,4/30/14 6:14,40.7202,-73.9602,B02512
33424,4/30/14 6:16,40.7289,-73.9808,B02512
33425,4/30/14 6:16,40.7349,-74.0084,B02512
