Weekday,Hour,other 8 bases,Uber,Lyft
1,0,769,"1,458",323
1,1,645,"1,078",344
1,2,497,757,362
1,3,385,513,362
1,4,435,308,333
1,5,438,308,297
1,6,450,322,246
1,7,460,434,176
1,8,451,596,96
1,9,552,786,43
1,10,618,956,31
1,11,617,"1,109",38
1,12,618,"1,128",53
1,13,647,"1,254",75
1,14,737,"1,328",92
1,15,777,"1,431",123
1,16,758,"1,526",143
1,17,738,"1,504",160
1,18,694,"1,378",173
1,19,666,"1,256",202
1,20,689,"1,226",213
1,21,711,"1,120",226
1,22,688,942,245
1,23,638,599,250
2,0,475,326,239
2,1,322,192,238
2,2,205,152,212
2,3,188,307,181
2,4,416,456,132
2,5,621,704,84
2,6,759,"1,032",50
2,7,910,"1,357",30
2,8,"1,006","1,319",24
2,9,883,"1,033",22
2,10,732,957,38
2,11,664,965,62
2,12,671,961,95
2,13,701,"1,089",105
2,14,786,"1,253",99
2,15,797,"1,435",103
2,16,738,"1,675",107
2,17,696,"1,821",118
2,18,605,"1,715",125
2,19,581,"1,606",129
2,20,634,"1,554",154
2,21,642,"1,338",189
2,22,559,963,226
2,23,507,568,236
3,0,341,288,228
3,1,235,164,213
3,2,156,120,195
3,3,142,209,166
3,4,325,351,103
3,5,460,657,71
3,6,651,"1,156",39
3,7,881,"1,559",26
3,8,"1,015","1,528",21
3,9,912,"1,167",21
3,10,751,"1,093",48
3,11,679,"1,079",82
3,12,699,"1,081",123
3,13,733,"1,307",124
3,14,829,"1,530",99
3,15,818,"1,732",107
3,16,751,"1,982",118
3,17,733,"2,313",112
3,18,634,"2,227",123
3,19,614,"2,025",134
3,20,684,"1,961",158
3,21,685,"1,711",205
3,22,612,"1,235",261
3,23,520,656,280
4,0,341,378,271
4,1,240,217,255
4,2,171,157,210
4,3,161,235,181
4,4,322,363,127
4,5,488,657,75
4,6,667,"1,174",46
4,7,887,"1,566",23
4,8,"1,051","1,519",21
4,9,923,"1,181",22
4,10,767,"1,119",52
4,11,712,"1,128",86
4,12,734,"1,142",127
4,13,773,"1,286",137
4,14,812,"1,493",118
4,15,835,"1,811",110
4,16,806,"2,120",124
4,17,762,"2,345",122
4,18,672,"2,299",141
4,19,637,"2,103",150
4,20,713,"2,103",173
4,21,720,"1,948",230
4,22,668,"1,466",293
4,23,565,834,306
5,0,379,439,314
5,1,254,250,307
5,2,167,178,286
5,3,160,267,238
5,4,345,403,170
5,5,499,629,98
5,6,684,"1,112",69
5,7,871,"1,553",36
5,8,"1,007","1,523",26
5,9,933,"1,250",28
5,10,801,"1,166",65
5,11,736,"1,196",104
5,12,757,"1,197",147
5,13,787,"1,349",150
5,14,874,"1,590",124
5,15,888,"1,883",122
5,16,843,"2,131",136
5,17,783,"2,337",139
5,18,710,"2,423",154
5,19,689,"2,332",169
5,20,731,"2,216",200
5,21,734,"2,164",259
5,22,700,"1,887",344
5,23,631,"1,281",372
6,0,432,655,331
6,1,284,395,336
6,2,209,261,328
6,3,186,326,297
6,4,369,411,225
6,5,516,631,146
6,6,688,983,84
6,7,849,"1,333",51
6,8,977,"1,355",34
6,9,895,"1,135",30
6,10,751,"1,099",52
6,11,700,"1,102",90
6,12,749,"1,120",129
6,13,812,"1,325",147
6,14,865,"1,545",119
6,15,870,"1,810",121
6,16,819,"1,972",126
6,17,788,"2,114",129
6,18,765,"2,191",151
6,19,748,"2,072",176
6,20,745,"1,874",210
6,21,749,"2,052",264
6,22,754,"2,107",328
6,23,744,"1,808",380
7,0,637,"1,321",388
7,1,520,931,379
7,2,390,626,416
7,3,332,464,417
7,4,429,334,352
7,5,452,342,297
7,6,490,415,234
7,7,522,533,158
7,8,572,692,85
7,9,611,837,46
7,10,592,980,39
7,11,575,"1,085",52
7,12,585,"1,149",76
7,13,625,"1,261",91
7,14,675,"1,500",117
7,15,721,"1,724",120
7,16,724,"1,835",142
7,17,710,"1,907",169
7,18,726,"2,034",201
7,19,754,"1,912",218
7,20,791,"1,802",257
7,21,808,"1,958",269
7,22,829,"2,078",295
7,23,865,"1,860",302
